model,replication,method,selected_components,ise,mspe,finite_result,numerical_instability,instability_diagnostic
Model 1,21,CG-FPLS-code,1,0.38226317878493843,1.2398367804624795,True,False,nan
Model 1,21,Raw FPLS,3,0.9571726738348417,1.1110215694083379,True,False,813.2741143878769
Model 1,21,Arnoldi FPLS,3,0.9571726738606152,1.1110215694104901,True,False,5.062763958288234e-16
Model 1,21,FPCR,5,0.33167797105219476,1.090644293641524,True,False,nan
Model 1,22,CG-FPLS-code,1,0.65509387190325,1.2886738771016684,True,False,nan
Model 1,22,Raw FPLS,2,0.7871600384969415,1.0899902229455258,True,False,125.9598240860304
Model 1,22,Arnoldi FPLS,2,0.7871600385003742,1.0899902229456608,True,False,8.89089887061629e-16
Model 1,22,FPCR,5,0.5239079866692513,1.1962750377195461,True,False,nan
Model 1,23,CG-FPLS-code,1,0.525084834156721,1.1820137651654696,True,False,nan
Model 1,23,Raw FPLS,2,0.5497916788268316,0.991885729599354,True,False,114.470820170123
Model 1,23,Arnoldi FPLS,2,0.5497916788265023,0.9918857295993643,True,False,2.2724722925919177e-16
Model 1,23,FPCR,4,0.44357038607150234,0.9928492169213903,True,False,nan
Model 1,24,CG-FPLS-code,1,0.6176056126524906,0.9621709459524476,True,False,nan
Model 1,24,Raw FPLS,2,0.47634796314613626,0.7526197517872734,True,False,100.8552245870204
Model 1,24,Arnoldi FPLS,2,0.47634796314654493,0.7526197517872093,True,False,6.898214603837235e-16
Model 1,24,FPCR,3,0.5161912575042261,0.8159606213106607,True,False,nan
Model 1,25,CG-FPLS-code,1,0.5165110469547508,1.3738006367830522,True,False,nan
Model 1,25,Raw FPLS,5,11.884266541954148,1.8834964324064591,True,False,216890.54926183636
Model 1,25,Arnoldi FPLS,5,11.884257455196963,1.8834961417912979,True,False,6.83395170118455e-16
Model 1,25,FPCR,15,1.948395764223688,1.4114646739219037,True,False,nan
Model 1,26,CG-FPLS-code,1,0.6551197431237253,1.0329470329811954,True,False,nan
Model 1,26,Raw FPLS,2,0.6551073899437764,0.9934634302968626,True,False,110.85495257750846
Model 1,26,Arnoldi FPLS,2,0.6551073899436441,0.9934634302968363,True,False,2.258390478947175e-16
Model 1,26,FPCR,2,0.678505329220761,1.0735561605206843,True,False,nan
Model 1,27,CG-FPLS-code,1,0.8657849392337728,1.2527972368851914,True,False,nan
Model 1,27,Raw FPLS,2,0.7490857788631579,0.9869873318690078,True,False,71.30186137646297
Model 1,27,Arnoldi FPLS,2,0.7490857788630305,0.9869873318690162,True,False,8.89510441529238e-16
Model 1,27,FPCR,6,0.6664530836509326,0.9736008798899887,True,False,nan
Model 1,28,CG-FPLS-code,1,0.6420534482162293,1.2903874357876575,True,False,nan
Model 1,28,Raw FPLS,2,0.4912724021772242,1.1603627640948253,True,False,103.78964697100172
Model 1,28,Arnoldi FPLS,2,0.49127240217713725,1.1603627640948182,True,False,8.919364282912712e-16
Model 1,28,FPCR,4,0.4690915835812522,1.1530236584909106,True,False,nan
Model 1,29,CG-FPLS-code,1,0.6273174801508677,1.1522228496066835,True,False,nan
Model 1,29,Raw FPLS,2,0.61978137945058,1.056613321528288,True,False,81.3268430986158
