model,method,distribution_scope,replications,s,true,mean,bias,variance,standard_deviation,median,p025,p975,minimum,maximum,skewness,excess_kurtosis
Model 3,Raw FPLS,archived numerically stable raw fits,4984,0.75,4.11522404011495,4.055298313295584,-0.059925726819366254,0.5828993381092226,0.7634784463946723,4.047241750825582,2.646132832008889,5.495698453538694,-2.059214141497603,10.235254022219397,0.06292881851621643,5.010395513862363
Model 3,Raw FPLS,archived numerically stable raw fits,4984,1.0,4.667159596791722,4.626558358302142,-0.04060123848957975,1.138785116985869,1.0671387524524958,4.602488496799186,2.614607107866321,6.601472721929165,-1.4720477643864716,12.488560817127983,0.17492553824366794,3.7153355948636264
Model 3,Arnoldi FPLS,all replications,5000,0.0,5.55016160288541,5.38894718741924,-0.1612144154661701,1.1241946978008277,1.0602804807223547,5.377454365862729,3.356363489794292,7.466171405193529,-1.459782454486995,12.937281893190796,0.19837219200779393,3.7074410777020406
Model 3,Arnoldi FPLS,all replications,5000,0.25,3.648478985142894,3.5630507060988137,-0.08542827904408012,0.6379888257324208,0.7987420270227558,3.5554282207306667,2.091533985275896,4.9886821963454855,-4.894874667672781,13.968141846382606,0.32542898410066634,11.978707994248337
Model 3,Arnoldi FPLS,all replications,5000,0.5,3.2321962748523645,3.1823888543430794,-0.049807420509285105,0.5794138252011934,0.7611923706929763,3.192307188534526,1.7245792339472596,4.591259553137236,-3.6556046637383353,7.917237656180016,-0.6474290578024011,6.5040204775080035
Model 3,Arnoldi FPLS,all replications,5000,0.75,4.11522404011495,4.054730831331364,-0.060493208783586105,0.6033548875256259,0.7767592210753766,4.046572082143081,2.6326188569156987,5.513067454375402,-2.0596093024631035,10.23525402702706,0.09655294907020555,5.656733216736795
Model 3,Arnoldi FPLS,all replications,5000,1.0,4.667159596791722,4.626733357456888,-0.0404262393348338,1.1760361728340039,1.0844520149983603,4.60169491566314,2.6006189202363776,6.63717434949718,-3.940840000494944,12.488560808797075,0.1449644847677234,4.655991111206044
Model 3,FPCR,all replications,5000,0.0,5.55016160288541,5.388720385198825,-0.16144121768658515,1.1608648330306484,1.0774343752779787,5.370577407399901,3.318466220320273,7.495348778828029,-1.7779576733557423,11.946449760147209,0.16798924198122508,2.6831586139174597
Model 3,FPCR,all replications,5000,0.25,3.648478985142894,3.545884141228613,-0.10259484391428098,0.5346831675568872,0.7312203276420092,3.5507718559685215,2.0885173927124066,4.931211179166334,-0.008321093267373013,9.397627538695078,0.14252579094684145,2.6396414296452484
Model 3,FPCR,all replications,5000,0.5,3.2321962748523645,3.178089176201012,-0.05410709865135255,0.5447027314319112,0.7380397898703777,3.188017862299047,1.7468988303066688,4.604135346641876,-3.5416792715732663,7.543302636186761,-0.1736230251825386,2.920104282792927
Model 3,FPCR,all replications,5000,0.75,4.11522404011495,4.034804608712595,-0.08041943140235475,0.5557076309238367,0.7454580007779357,4.036245401171884,2.573447302257006,5.46830786873094,-0.6852174907136832,9.116286426328227,-0.13518289492527688,3.057746935575911
Model 3,FPCR,all replications,5000,1.0,4.667159596791722,4.607683509254668,-0.059476087537053246,1.197407511574818,1.0942611715558668,4.602221583100577,2.4283679990405735,6.6464738435051425,-4.021100126065964,11.826978600858153,-0.1798755842059291,3.3657654217799235
