model,n,delta,replications,alpha,calibration,test_engine,critical_value,power,mcse
Model 3,100,0.5000000000000013,5000,0.05,empirical,direct-moment,27.333051137770497,0.7558,0.006075629350116743
Model 3,100,0.5500000000000014,5000,0.05,empirical,direct-moment,27.333051137770497,0.8384,0.00520548633654916
Model 3,100,0.6000000000000014,5000,0.05,empirical,direct-moment,27.333051137770497,0.899,0.004261431684305169
Model 3,100,0.6500000000000015,5000,0.05,empirical,direct-moment,27.333051137770497,0.9384,0.003400159996235471
Model 3,100,0.7000000000000015,5000,0.05,empirical,direct-moment,27.333051137770497,0.966,0.0025629670306112026
Model 3,100,0.7500000000000016,5000,0.05,empirical,direct-moment,27.333051137770497,0.9832,0.0018175676053451238
Model 3,100,0.8000000000000016,5000,0.05,empirical,direct-moment,27.333051137770497,0.991,0.0013355897573731246
Model 3,100,0.8500000000000016,5000,0.05,empirical,direct-moment,27.333051137770497,0.996,0.0008926365441768563
Model 3,100,0.9000000000000017,5000,0.05,empirical,direct-moment,27.333051137770497,0.998,0.0006318227599572528
Model 3,100,0.9500000000000017,5000,0.05,empirical,direct-moment,27.333051137770497,0.999,0.0004469899327725404
Model 3,100,1.0000000000000018,5000,0.05,empirical,direct-moment,27.333051137770497,0.9998,0.00019997999899988897
Model 3,200,-1.0,5000,0.05,empirical,direct-moment,27.08329714240967,1.0,0.0
Model 3,200,-0.95,5000,0.05,empirical,direct-moment,27.08329714240967,1.0,0.0
Model 3,200,-0.8999999999999999,5000,0.05,empirical,direct-moment,27.08329714240967,1.0,0.0
Model 3,200,-0.8499999999999999,5000,0.05,empirical,direct-moment,27.08329714240967,1.0,0.0
Model 3,200,-0.7999999999999998,5000,0.05,empirical,direct-moment,27.08329714240967,1.0,0.0
Model 3,200,-0.7499999999999998,5000,0.05,empirical,direct-moment,27.08329714240967,1.0,0.0
Model 3,200,-0.6999999999999997,5000,0.05,empirical,direct-moment,27.08329714240967,0.9998,0.00019997999899988897
Model 3,200,-0.6499999999999997,5000,0.05,empirical,direct-moment,27.08329714240967,0.9992,0.0003998399679871993
Model 3,200,-0.5999999999999996,5000,0.05,empirical,direct-moment,27.08329714240967,0.998,0.0006318227599572528
Model 3,200,-0.5499999999999996,5000,0.05,empirical,direct-moment,27.08329714240967,0.9922,0.0012441189653726872
Model 3,200,-0.49999999999999956,5000,0.05,empirical,direct-moment,27.08329714240967,0.9794,0.0020087628033194937
Model 3,200,-0.4499999999999995,5000,0.05,empirical,direct-moment,27.08329714240967,0.942,0.003305631558416638
Model 3,200,-0.39999999999999947,5000,0.05,empirical,direct-moment,27.08329714240967,0.8714,0.004734174479251901
Model 3,200,-0.3499999999999994,5000,0.05,empirical,direct-moment,27.08329714240967,0.7644,0.006001543801389773
Model 3,200,-0.2999999999999994,5000,0.05,empirical,direct-moment,27.08329714240967,0.6142,0.006884160951052786
Model 3,200,-0.24999999999999933,5000,0.05,empirical,direct-moment,27.08329714240967,0.4474,0.007031831055991035
Model 3,200,-0.1999999999999993,5000,0.05,empirical,direct-moment,27.08329714240967,0.2918,0.006428884195566132
Model 3,200,-0.14999999999999925,5000,0.05,empirical,direct-moment,27.08329714240967,0.1642,0.005239052586107531
Model 3,200,-0.0999999999999992,5000,0.05,empirical,direct-moment,27.08329714240967,0.0932,0.004111295659521461
Model 3,200,-0.049999999999999156,5000,0.05,empirical,direct-moment,27.08329714240967,0.0582,0.003310974478911005
